precio,direccion,lugar,m2 total,habientes,dormitorios,baños,cocheras
USD 119.000,Centenario al 3900,"San Justo, La Matanza",216 m² tot.,3 amb.,2 dorm.,1 baño,2 coch.
USD 10.000,Ocampo  3200,"San Justo, La Matanza",540 m² tot.,1 coch.,,,
USD 39.500,Monseñor José Francisco Marcón 2600,"San Justo, La Matanza",43 m² tot.,2 amb.,1 dorm.,1 baño,
USD 198.000,Lezica 3100,"San Justo, La Matanza",662 m² tot.,5 amb.,3 dorm.,3 baños,2 coch.
USD 60.000,Monseñor Marcón al 2300 San Justo,"San Justo, La Matanza",38 m² tot.,2 amb.,1 dorm.,1 baño,
USD 70.000,Ocampo al 3300,"San Justo, La Matanza",48 m² tot.,3 amb.,2 dorm.,1 baño,
USD 120.000,Comisionado Jose Indart  1200,"San Justo, La Matanza",375 m² tot.,4 amb.,3 dorm.,2 baños,1 coch.
USD 55.000,Entre Rios al 2000,"San Justo, La Matanza",41 m² tot.,2 amb.,1 dorm.,1 baño,1 coch.
USD 165.000,Sarratea 2300,"San Justo, La Matanza",439 m² tot.,4 amb.,3 dorm.,2 baños,2 coch.
USD 4.000.000,Brandsen al 3100,"San Justo, La Matanza",32620 m² tot.,,,,
USD 89.000,Ing. White 3900,"San Justo, La Matanza",158 m² tot.,3 amb.,2 dorm.,1 baño,1 coch.
USD 550.000,Peru 2300,"San Justo, La Matanza",429 m² tot.,,,,
USD 55.500,Arieta al 2100,"San Justo, La Matanza",86 m² tot.,2 amb.,1 dorm.,1 baño,
USD 77.000,Paraguay 2300,"San Justo, La Matanza",53 m² tot.,2 amb.,1 dorm.,1 baño,1 coch.
USD 117.000,Beron de Astrada 4186,"San Justo, La Matanza",180 m² tot.,3 amb.,2 dorm.,1 baño,1 coch.
USD 85.000,Balbastro al 3500,"San Justo, La Matanza",306 m² tot.,3 amb.,2 dorm.,1 baño,2 coch.
USD 62.000,Sarratea 3200,"San Justo, La Matanza",81 m² tot.,3 amb.,2 dorm.,2 baños,1 coch.
USD 109.000,Figueroa Alcorta 2900,"San Justo, La Matanza",325 m² tot.,4 amb.,3 dorm.,2 baños,1 coch.
USD 500.000,Jose Indart al 2300,"San Justo, La Matanza",393 m² tot.,,,,
USD 144.900,Florencio Varela al 2500,"San Justo, La Matanza",325 m² tot.,7 amb.,5 dorm.,2 baños,1 coch.
USD 125.500,"ALMAFUERTE, AVDA. 300. Entre Puna y Achala","Parque Patricios, Capital Federal",109 m² tot.,2 amb.,1 dorm.,1 baño,
USD 16.000,Ocampo  3200,"San Justo, La Matanza",540 m² tot.,1 coch.,,,
USD 69.000,Paraguay 2300,"San Justo, La Matanza",50 m² tot.,2 amb.,1 dorm.,1 baño,1 coch.
USD 99.000,Ombu al 3100,"San Justo, La Matanza",80 m² tot.,3 amb.,2 dorm.,1 baño,1 coch.
USD 49.500,Dr. Enrique eizaguirre 2600. Entre Juan florio y Monseñor marcon,"San Justo, La Matanza",29 m² tot.,1 amb.,1 baño,,
USD 135.000,Pasteur 4000,"San Justo, La Matanza",200 m² tot.,5 amb.,4 dorm.,3 baños,1 coch.
USD 102.500,"MARCON, MONSEÑOR JOSE 2842. Entre Illia, arturo av. y Salta","San Justo, La Matanza",51 m² tot.,2 amb.,1 dorm.,2 baños,
USD 135.000,"MARCON, MONSEÑOR JOSE 2842. Entre Illia, arturo av. y Salta","San Justo, La Matanza",63 m² tot.,2 amb.,1 dorm.,2 baños,
USD 95.000,Gral Ocampo ,"San Justo, La Matanza",60 m² tot.,2 amb.,1 dorm.,1 baño,
USD 50.000,"OCAMPO 1965. Entre Lartigau, alberto y Falcon, ramon","San Justo, La Matanza",32 m² tot.,2 amb.,1 dorm.,,
